Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Anthony Randolph,74,63,100,8
Anthony Roberson,1,29,29.2,5
Anthony Roberts,7,82,135.8,5
Anthony Taylor,5,21,60,1
Anthony Tolliver,33,76,110.2307692,13
Anthony Tucker,11,62,96,1
Antoine Carr,101,82,223.2777778,18
Antoine Rigaudeau,0,11,8,1
Antoine Walker,65,82,476.1428571,14
Antoine Wright,27,67,94.125,8
Antonio Anderson,0,1,1,1
Antonio Burks,1,57,39.5,2
Antonio Daniels,14,82,157.9333333,15
Antonio Davis,151,82,207.9411765,17
Antonio Harvey,47,59,31.3,10
Antonio Lang,30,64,15.25,8
Antonio McDyess,139,82,304.2352941,17
Antonis Fotsis,11,28,42,1
Archie Clark,6,82,450.4166667,12
Archie Dees,,73,143.75,4
Archie Goodwin,13,57,67.16666667,6
Ariel Maughan,,68,119,2
Arinze Onuaku,3,8,3.2,5
Armen Gilliam,89,82,341.7058824,17
Armon Johnson,1,38,21.5,4
Armond Hill,16,82,110,12
Arnett Moultrie,10,47,47,2
Arnie Ferrin,,68,125.5,2
Arnie Johnson,,70,163,4
Arnie Risen*,,72,251.6666667,9
Aron Baynes,52,81,122.2,5
Arron Afflalo,31,82,274.4166667,12
Art Burris,,41,28,4
Art Collins,1,29,35,1
Art Harris,,81,201.3333333,6
Art Heyman,,75,116.4,5
Art Long,28,63,35.2,5
Art Spector,,7,2,1
Art Spoelstra,,72,154,6
Art Williams,3,81,167.8571429,7
Artis Gilmore*,220,82,416.5,14
Arvid Kramer,5,8,7,1
Arvydas Macijauskas,0,19,14,1
Arvydas Sabonis*,84,78,297.4285714,7
Ashraf Amaya,10,54,66.5,2
Askia Jones,0,11,15,1
Audie Norris,34,79,94.33333333,3
Austin Carr,19,82,370.5,12
Austin Croshere,60,81,107.5,14
Austin Daye,39,72,60.91666667,12
Austin Rivers,14,76,184.5714286,7
Avery Bradley,19,77,289.2857143,7
Avery Johnson,21,82,187.1363636,22
