Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Cory Joseph,20,80,160.3333333,6
Cotton Nash,,45,31.33333333,3
Coty Clarke,0,3,2,1
Courtney Alexander,7,66,178.8,5
Courtney Fortson,0,10,7.333333333,3
Courtney Lee,28,81,239.2307692,13
Courtney Sims,0,3,1.5,4
Cozell McQueen,1,3,3,1
Craig Brackins,1,14,6.5,2
Craig Dykema,0,32,17,1
Craig Ehlo,34,82,212.6428571,14
Craig Hodges,7,82,200.5714286,14
Craig Neal,4,53,26,4
Craig Raymond,,27,22,1
Craig Shelton,5,55,51,2
Craig Smith,25,82,203.5,6
Craig Spitzer,,10,8,1
Cristiano Felicio,16,66,84,2
Cuonzo Martin,0,4,1.5,2
Curly Armstrong,,63,108,2
Curtis Borchardt,32,67,48,2
Curtis Kitchen,3,6,3,1
Curtis Perry,97,81,208.5,10
Curtis Rowe,47,82,352.625,8
Cuttino Mobley,37,81,363.6153846,13
D.C. Wilcutt,,37,24,1
D.J. Augustin,5,82,181.5333333,15
D.J. Kennedy,0,2,5,1
D.J. Stephens,0,3,3,1
D.J. Strawberry,6,33,29,1
D.J. White,23,58,57.375,8
Daequan Cook,11,75,101.125,8
Dahntay Jones,39,79,85.66666667,15
DaJuan Summers,7,44,25.75,4
Dajuan Wagner,7,47,88.5,4
Dale Davis,148,82,205.7777778,18
Dale Ellis,32,82,368.047619,21
Dale Hamilton,,14,8,1
Dale Schlueter,42,81,117.6,10
Dale Wilkinson,0,12,2.666666667,3
Dalibor Bagaric,24,50,32.33333333,3
Dallas Comegys,70,75,161,2
Damian Jones,4,10,8,1
Damian Lillard,28,82,595,5
Damien Inglis,3,20,13,1
Damien Wilkins,25,82,147.8888889,9
Damion James,12,25,15.25,4
Damir Markota,1,30,19,1
Damjan Rudez,5,68,58.33333333,3
Damon Jones,5,82,109.3333333,15
Damon Stoudamire,19,82,288.0588235,17
Damone Brown,6,17,10.75,4
Dan Anderson,2,52,67.5,2
Dan Dickau,4,71,95.1,10
Dan Gadzuric,106,81,91.91666667,12
Dan Godfread,4,10,2.5,2
Dan Issel*,55,82,602.6666667,9
Dan King,,12,7,1
Dan Langhi,6,60,29.5,6
Dan Majerle,43,82,282.1428571,14
Dan McClintock,2,6,9,1
Dan O'Sullivan,4,21,5,6
Dan Roundfield,176,81,389.9090909,11
Dan Swartz,,39,57,1
Dan Tieman,,29,15,1
Dana Barros,6,82,234.3571429,14
Dane Suttle,0,40,57.5,2
D'Angelo Russell,16,80,371.5,2
Daniel Ewing,6,66,81,2
Daniel Gibson,21,75,152.1428571,7
Daniel Ochefu,0,19,12,1
Daniel Orton,16,22,16.66666667,3
Daniel Santiago,21,54,38.25,4
Danilo Gallinari,58,81,238.5,10
Danny Ainge,18,81,320.1875,16
Danny Doyle,,4,6,1
Danny Ferry,49,82,192.6923077,13
Danny Finn,,68,127.3333333,3
Danny Fortson,30,80,119.6,10
Danny Granger,97,82,287.3333333,12
Danny Green,87,81,183.375,8
Danny Manning,122,82,330.1176471,17
Danny Schayes,98,82,152.9090909,22
Danny Vranes,57,82,150.8571429,7
Danny Wagner,,11,19,1
Danny Young,9,82,90.33333333,12
Dante Cunningham,58,81,175.1,10
Dante Exum,14,82,150,2
Danuel House,0,1,0,1
Darington Hobson,0,5,2,1
Dario Saric,30,81,381,1
Darius Johnson-Odom,0,4,0,2
Darius Miles,125,82,248.7777778,9
Darius Miller,12,52,39.33333333,3
Darius Morris,2,48,29.28571429,7
Darius Songaila,20,81,181.125,8
Darius Washington,0,18,21,1
Darko Milicic,140,80,101.0714286,14
Darnell Hillman,106,82,222,6
Darnell Jackson,4,59,26.4,5
Darnell Mee,13,38,14.5,2
Darnell Valentine,12,82,195.8181818,11
Darrall Imhoff,,82,167.9285714,14
Darrell Allums,8,22,23,1
Darrell Armstrong,16,82,172,16
Darrell Arthur,63,80,169.875,8
Darrell Elston,0,5,2,1
Darrell Griffith,40,82,523.7,10
Darrell Lockhart,0,2,2,1
Darrell Walker,37,82,208.5833333,12
Darren Collison,15,81,330.75,8
Darren Daye,19,80,135.7142857,7
Darren Morningstar,2,23,26,3
Darren Tillis,60,72,65,4
Darrick Martin,10,82,88.86666667,15
Darrin Hancock,5,63,35.33333333,6
Darrun Hilliard,2,39,49.5,2
Darryl Dawkins,152,81,217.4375,16
Darryl Johnson,0,11,5,1
Darryl Watkins,4,9,6,2
Darvin Ham,37,75,47.6,10
Darwin Cook,48,82,269.7,10
Dave Batton,13,54,45,2
Dave Bing*,26,82,580.1666667,12
Dave Britton,0,2,2,1
Dave Budd,,79,192.4,5
Dave Corzine,126,82,238.2307692,13
Dave Cowens*,101,82,522.1818182,11
Dave DeBusschere*,39,81,444.8571429,14
Dave Deutsch,,19,6,1
Dave Fedor,,7,3,1
Dave Feitl,18,70,94.2,5
Dave Gambee,,80,216.4285714,14
Dave Greenwood,129,82,244.1428571,14
Dave Gunther,,1,1,1
Dave Henderson,5,22,47,1
Dave Hoppen,21,77,43.4,10
Dave Jamerson,1,48,24.4,5
Dave Johnson,1,42,37,2
Dave Lattin,,68,93.5,2
Dave Magley,0,14,4,1
Dave Meyers,46,80,302,4
Dave Minor,,59,123.25,4
Dave Newmark,,81,156,2
Dave Piontek,,77,165.1111111,9
Dave Popson,3,19,9.6,5
Dave Robisch,53,84,149.0666667,15
Dave Schellhase,,42,43.5,2
Dave Scholz,,1,1,1
Dave Sorenson,,79,162.8,5
Dave Stallworth,4,82,221.9,10
Dave Twardzik,15,75,222.75,4
Dave Wohl,9,79,115.8461538,13
Dave Zeller,,61,36,1
David Andersen,12,63,64.75,4
David Benoit,49,82,165.2222222,9
David Burns,0,9,4.666666667,3
David Cooke,0,6,2,1
David Harrison,59,67,93.5,4
David Lee,40,81,340.3571429,14
David Noel,9,68,65,1
David Nwaba,7,20,47,1
David Pope,3,22,13,2
David Rivers,9,52,46.33333333,3
David Robinson*,320,82,526.0714286,14
David Stockton,0,3,2,1
David Thirdkill,4,49,26.125,8
David Thompson*,99,82,526.625,8
David Vanterpool,3,22,46,1
David Vaughn,15,40,29,7
David Wear,0,2,0,1
David Wesley,30,82,286.375,16
David West,99,81,391.9285714,14
David Wingate,22,81,112.6666667,15
David Wood,19,82,64.2,10
Davis Bertans,28,67,103,1
Dean Garrett,133,82,92.5,8
Dean Meminger,11,80,167.3333333,6
Dean Oliver,0,20,12,2
Dean Tolson,21,60,51,3
DeAndre' Bembry,5,38,47,1
DeAndre Jordan,203,82,276.3333333,9
DeAndre Liggins,14,62,24,6
Dedric Willoughby,2,25,61,1
Dee Brown,49,82,158.5555556,18
Dee Gibson,,44,77,1
Dejounte Murray,6,38,50,1
DeJuan Blair,42,82,177.4285714,7
DeJuan Wheat,2,46,46.5,2
Del Beshore,5,68,44,2
Delaney Rudd,2,82,79.25,4
Dell Curry,27,82,318.125,16
Dell Demps,1,16,7,3
Delon Wright,11,27,42.5,2
Delonte West,46,71,179.7,10
DeMar DeRozan,31,82,508.875,8
DeMarco Johnson,0,5,3,1
DeMarcus Cousins,103,81,482.8888889,9
DeMarcus Nelson,2,13,24,1
DeMarre Carroll,27,73,106.3333333,12
Demetris Nichols,3,14,3,6
Demetrius Calip,0,7,4,1
Demetrius Jackson,0,5,3,1
Deng Gai,0,2,0,1
Dennis Awtrey,52,82,98.25,16
Dennis Bell,9,52,25.33333333,3
Dennis Boyd,0,5,3,1
Dennis DuVal,2,37,19.5,2
Dennis Hamilton,,44,45.5,2
Dennis Hopson,51,79,235.8571429,7
Dennis Horner,0,8,1,1
Dennis Johnson*,97,81,416.5714286,14
Dennis Nutt,0,25,16,1
Dennis Rodman*,76,82,197.5714286,14
Dennis Schroder,16,80,308.25,4
Dennis Scott,39,82,241.2857143,14
Dennis Stewart,,2,1,1
Denzel Valentine,7,57,102,1
DeQuan Jones,22,63,95,1
Derek Anderson,16,82,194.3846154,13
Derek Fisher,15,82,177.4545455,22
Derek Grimm,1,9,4,1
Derek Harper,41,82,360.7777778,18
Derek Hood,0,2,0,1
Derek Smith,52,80,204.2727273,11
Derek Strong,24,82,106.7,10
DerMarr Johnson,56,78,110,7
Dermie O'Connell,,61,74,3
Deron Williams,30,82,347.8125,16
Derrek Dickey,19,80,134.4285714,7
Derrick Alston,52,73,106,3
Derrick Brown,12,65,85.6,5
Derrick Byars,0,2,3,1
Derrick Caracter,10,41,32,1
Derrick Chievous,11,81,100.8,5
Derrick Coleman,142,77,307.7333333,15
Derrick Dial,6,33,24,6
Derrick Favors,130,78,268.7777778,9
Derrick Gervin,19,56,128.5,2
Derrick Jones,13,32,68,1
Derrick McKey,81,82,260.5333333,15
Derrick Phelps,0,3,0,1
Derrick Rose,51,81,445.25,8
Derrick Rowland,0,2,1,1
Derrick Williams,37,80,164.2,10
Derrick Zimmerman,0,2,2,1
DeSagana Diop,146,81,41.9375,16
DeShawn Stevenson,24,82,156.4705882,17
Desmon Farmer,0,8,4.5,2
Desmond Ferguson,0,7,5,1
Desmond Mason,32,82,282.3333333,12
Desmond Penigar,2,10,14,1
Detlef Schrempf,37,82,315.2222222,18
Devean George,42,82,119.8181818,11
Devin Booker,21,78,486.5,2
Devin Brown,14,81,110.1666667,12
Devin Durrant,10,59,61,2
Devin Ebanks,6,24,27.33333333,3
Devin Gray,3,21,7.75,4
Devin Green,0,27,6,1
Devin Harris,21,80,225.3529412,17
Devyn Marble,2,28,17.5,2
Dewayne Dedmon,61,76,61,7
DeWayne Scales,4,44,32.66666667,3
Dexter Boney,1,8,6,1
Dexter Cambridge,6,53,151,1
Dexter Pittman,8,35,8.833333333,6
Dexter Shouse,1,3,0,1
Deyonta Davis,17,36,24,1
Diamond Stone,1,7,3,1
Diante Garrett,5,71,58.5,2
Dick Atha,,25,26.5,2
Dick Barnett,0,82,431,14
Dick Bunt,,26,19.33333333,3
Dick Cunningham,2,77,58.28571429,7
Dick Dickey,,45,40,1
Dick Duckett,,34,54,1
Dick Farley,,72,160.3333333,3
Dick Garmaker,,72,293.125,8
Dick Garrett,1,78,211.2857143,7
Dick Gibbs,18,72,107.8571429,7
Dick Groat,,26,100,1
Dick Hemric,,71,135,2
Dick Knostman,,5,3,1
Dick McGuire*,,72,186.1818182,11
Dick Mehen,,66,170.6666667,6
Dick Miller,0,8,2.666666667,3
Dick O'Keefe,,68,91.5,2
Dick Ricketts,,72,196.8,5
Dick Rosenthal,,67,109,2
Dick Schnittker,,72,154.8333333,6
Dick Schulz,,50,31.5,4
Dick Snyder,43,82,356.4,15
Dick Surhoff,,32,28,2
Dick Triptow,,4,0,1
Dick Van,17,82,451.0833333,12
Dickey Simpkins,22,69,60.33333333,9
Didier Ilunga-Mbenga,29,49,24.33333333,9
Dijon Thompson,1,10,8.5,2
Dike Eddleman,,69,251.8333333,6
Dikembe Mutombo*,336,82,221.9,20
Dillard Crocker,,61,108.2,5
Dino Radja,86,80,379,4
Dion Glover,19,76,143,8
Dion Waiters,21,80,297,7
Dionte Christmas,3,31,22,1
Dirk Minniefield,7,76,117,7
Dirk Nowitzki,119,82,562.5263158,19
Doc Rivers,53,82,226.8666667,15
Dolph Schayes*,,79,390.8666667,15
Domantas Sabonis,32,81,192,1
Dominic McGuire,74,79,39.18181818,11
Dominic Pressley,0,13,6,3
Dominique Jones,5,33,27.66666667,3
Dominique Wilkins*,87,82,627.1176471,17
Don Ackerman,,28,14,1
Don Adams,20,82,205.4545455,11
Don Anielak,,1,0,1
Don Asmonga,,7,2,1
Don Barksdale*,,72,254,4
Don Bielke,,7,5,1
Don Boven,,67,119,6
Don Buse,27,82,203.2222222,9
Don Carlson,,57,58,2
Don Chaney,66,82,201.3076923,13
Don Collins,30,81,199.375,8
Don Ford,46,82,160.4444444,9
Don Grate,,2,1,1
Don Hanrahan,,18,11,1
Don Henriksen,,70,119.25,4
Don Kojis,15,81,328.9166667,12
Don Lofgran,,64,109,4
Don MacLean,22,75,146.6666667,9
Don May,8,76,171.1111111,9
Don Nelson*,15,82,286.9285714,14
Don Ohl,,80,423.1666667,12
Don Otten,,67,116.9090909,11
Don Putman,,57,51,1
Don Ray,,61,130,1
Don Rehfeldt,,59,90.5,4
Don Reid,55,69,64.3,10
Don Savage,,12,7.5,2
Don Smith,3,54,131,1
Don Sunderlage,,68,143.5,2
Donald Hodge,37,79,67.28571429,7
Donald Royal,25,77,80.84615385,13
Donald Sloan,4,61,55.5,10
Donald Whiteside,0,27,9.5,2
Donatas Motiejunas,34,71,145.6,5
Donell Taylor,4,51,54.5,2
Donnell Harvey,27,77,72.22222222,9
Donnie Boyce,4,22,15,2
Donnie Butcher,,78,116,7
Donnie Freeman,11,64,263,1
Donny Marshall,3,56,17.4,5
Donta Smith,5,38,29.5,2
Dontae' Jones,3,15,19,1
Donte Greene,53,76,146.25,4
Dontell Jefferson,1,6,11,1
Dontonio Wingfield,6,47,39.25,4
Donyell Marshall,124,82,235.3809524,21
Dorell Wright,63,82,150.6363636,11
Dorian Finney-Smith,25,81,124,1
Dorie Murrey,,81,83.875,8
Doron Lamb,1,53,45.75,4
Doug Bolstorff,,3,2,1
Doug Christie,57,82,185.1578947,19
Doug Collins,25,81,365.875,8
Doug Edwards,18,38,23.66666667,3
Doug Kistler,,5,3,1
Doug Lee,3,46,20.33333333,3
Doug McDermott,6,81,155.6,5
Doug Overton,6,82,56.15789474,19
Doug Roth,13,42,37,1
Doug Sims,,4,2,1
Doug Smith,52,79,204,5
Doug West,26,80,219.25,12
Dragan Bender,22,43,57,1
Dragan Tarlac,19,43,39,1
Draymond Green,113,82,256.6,5
Drazen Petrovic*,13,82,324.6666667,6
Drew Barry,1,27,11.6,5
Drew Gooden,76,82,201.9130435,23
Drew Gordon,0,9,8,1
Duane Causwell,215,80,93.54545455,11
Duane Cooper,2,65,40,2
Duane Ferrell,27,82,129.0909091,11
Duane Klueh,,61,118.75,4
Duane Washington,0,15,9,2
Duck Williams,11,77,232,1
Dudley Bradley,48,82,125.2727273,11
Duje Dukan,0,1,2,1
Dwayne Jones,25,56,6.6,5
Dwayne McClain,4,45,69,1
Dwayne Morton,15,41,50,1
Dwayne Polee,0,1,1,1
Dwayne Schintzius,29,43,32,8
Dwayne Whitfield,2,8,13,1
Dwight Anderson,0,5,7,1
Dwight Buycks,0,14,16.5,2
Dwight Davis,74,81,226,5
Dwight Howard,231,82,460.6153846,13
Dwight Jones,64,82,204.5714286,14
Dwight Powell,39,77,80.4,5
Dwight Waller,,11,2,1
Dwyane Wade,106,79,552.7857143,14
Dyron Nix,1,20,14,1
E.C. Coleman,37,77,184,6
Earl Barron,8,46,23.46153846,13
Earl Boykins,12,82,130.7894737,19
Earl Clark,44,59,61.8,10
Earl Cureton,61,82,127.7142857,14
Earl Dodd,,9,6,1
Earl Evans,1,36,63,1
Earl Jones,1,12,2.5,2
Earl Lloyd*,,72,196.2222222,9
Earl Monroe*,29,82,479.5333333,15
Earl Tatum,40,82,237.375,8
Earl Watson,23,81,155.4,15
Earl Williams,32,79,72.5,4
Earnie Killum,,4,0,1
Easy Parham,,66,69.5,2
Ed Bartels,,17,17,4
Ed Beach,,12,5.333333333,3
Ed Biedenbach,,7,0,1
Ed Burton,,8,7,2
Ed Conlin,,77,243.4444444,9
Ed Dahler,,14,14,1
Ed Davis,98,81,180.5555556,9
Ed Earle,,2,1,1
Ed Fleming,,72,172.4,5
Ed Gayda,,15,19,1
Ed Gray,11,30,65,2
Ed Horton,5,45,80,1
Ed Kalafat,,72,163.3333333,3
Ed Leede,,64,146.5,2
Ed Macauley*,,72,374.2,10
Ed Manning,,79,120.3333333,6
Ed Mikan,,66,81.88888889,9
Ed Nealy,12,82,42.28571429,14
Ed O'Bannon,12,64,85.5,4
Ed Peterson,,62,106.75,4
Ed Pinckney,66,81,150.3125,16
Ed Rains,2,49,55,2
Ed Ratleff,51,81,232,5
Ed Sadowski,,69,199.3333333,3
Ed Searcy,0,4,2,1
Ed Sherod,14,64,171,1
Ed Smith,,12,14,1
Ed Stanczak,,57,85.5,2
Ed Stokes,2,4,1,1
Eddie Basden,2,19,15,1
Eddie Gill,5,73,21.22222222,9
Eddie Griffin,148,77,170.8,5
Eddie House,12,81,151,16
Eddie Hughes,2,60,38.66666667,3
Eddie Johnson,24,82,385.7272727,33
Eddie Jones,77,81,298.3333333,18
Eddie Jordan,40,82,133.1538462,13
Eddie Lee,18,79,99.33333333,6
Eddie Mast,,42,38,3
Eddie Miles,,81,321.7272727,11
Eddie Miller,,72,197.5,4
Eddie Owens,0,8,9,1
Eddie Phillips,8,48,56,1
Eddie Robinson,32,67,170.4,5
Eddy Curry,83,81,234.3636364,11
Edgar Jones,108,81,157.4,10
Edmund Lawrence,0,3,5,1
Eduardo Najera,40,78,88.1875,16
Edwin Ubiles,1,4,5,1
Edy Tavares,6,2,2.666666667,3
Efthimi Rentzias,2,35,20,1
Ekpe Udoh,102,76,76.57142857,7
Elden Campbell,212,82,211.4285714,21
Eldridge Recasner,5,71,63.1,10
Elfrid Payton,40,82,349.6666667,3
Elgin Baylor*,,80,620.9285714,14
Elias Harris,0,2,0,1
Elijah Millsap,16,47,31,3
Elliot Perry,5,82,94.125,16
Elliot Williams,3,67,34.5,6
Elmer Behnke,,4,6,1
Elmer Bennett,1,9,4.4,5
Elmer Gainer,,15,9,1
Elmore Smith,393,81,341,10
Elmore Spencer,127,76,56.28571429,7
Elston Turner,8,81,131.125,8
Elton Brand,201,81,388.1764706,17
Elvin Hayes*,240,82,686,16
Em Bryant,,80,187.625,8
Emanual Davis,12,62,67,6
Emeka Okafor,172,82,328.4444444,9
Emmanuel Mudiay,35,68,268.5,2
Enes Kanter,42,82,315.25,8
Ennis Whatley,17,82,66.15384615,13
Eric Anderson,1,16,6,2
Eric Bledsoe,55,81,273.2857143,7
Eric Dawson,2,4,7,1
Eric Fernsten,14,56,28.25,8
Eric Gordon,40,78,308,9
Eric Johnson,2,48,20,1
Eric Leckner,34,77,71.5,12
Eric Maynor,10,82,66.54545455,11
Eric McWilliams,,44,34,1
Eric Mobley,27,46,50.8,5
Eric Money,14,80,295.6,10
Eric Montross,73,78,83.35714286,14
Eric Moreland,4,8,2,2
Eric Murdock,13,82,193.9090909,11
Eric Piatkowski,19,81,146,14
Eric Riley,46,47,43.6,5
Eric Snow,19,82,148.2,15
Eric Washington,25,66,137,2
Eric White,3,38,47.5,4
Eric Williams,19,82,125.3888889,18
Erick Barkley,1,19,16,2
Erick Dampier,167,82,174,16
Erick Green,0,43,17.75,4
Erick Strickland,13,79,128.5454545,11
Erik Daniels,0,21,6,1
Erik Murphy,4,24,3,1
Ernest Brown,1,3,1,1
Ernie Barrett,,72,133.5,2
Ernie Beck,,72,104.3333333,9
Ernie DiGregorio,9,81,193.7142857,7
Ernie Grunfeld,39,82,229.4444444,9
Ernie Vandeweghe,,61,136.3333333,6
Ersan Ilyasova,44,82,226.8571429,14
Ervin Johnson,227,82,107.1538462,13
Erwin Mueller,,80,150.6923077,13
Essie Hollis,1,25,30,1
Esteban Batista,11,57,21,2
Etan Thomas,123,79,98.88888889,9
Etdrick Bohannon,6,13,2.666666667,6
E'Twaun Moore,32,79,167.8333333,6
Eugene Jeter,2,62,106,1
Evan Eschmeyer,58,74,39.5,4
Evan Fournier,7,79,278.6,5
Evan Turner,28,82,299.4444444,9
Everette Stephens,4,35,12.5,2
Evers Burns,3,23,22,1
Evric Gray,0,5,4,1
Fab Melo,2,6,3,1
Fabricio Oberto,24,82,80.16666667,6
Fat Lever,34,82,385.8181818,11
Fatty Taylor,9,79,132,1
Felipe Lopez,30,70,126.8333333,6
Felton Spencer,121,81,95.21428571,14
Fennis Dembo,0,31,14,1
Fernando Martin,1,24,9,1
Festus Ezeli,74,78,91.66666667,3
Floyd Volker,,54,108.6666667,3
Flynn Robinson,,83,305.9230769,13
Foots Walker,24,81,153.8,10
Forest Able,,1,0,1
Forrest McKenzie,0,6,7,1
Fran Curran,,66,98,1
Francisco Elson,59,72,63.23076923,13
Francisco Garcia,67,79,140.1666667,12
Frank Brickowski,44,78,206.5,16
Frank Gates,,64,113,1
Frank Johnson,8,82,194.7,10
Frank Kaminsky,43,81,267.5,2
Frank Kendrick,3,24,31,1
Frank Kornet,3,57,32.5,2
Frank Kudelka,,65,112.1666667,6
Frank Oleynick,6,52,104,2
Frank Radovich,,37,37,1
Frank Ramsey*,,79,327.6666667,9
Frank Reddout,,7,5,1
Frank Russell,,23,29,1
Frank Schade,,9,2,1
Frank Selvy,,80,190.0769231,13
Frank Williams,6,56,30.66666667,3
Frankie Brian,,71,252.1428571,7
Frankie King,0,7,5,2
Frankie Sanders,6,46,61,4
Franklin Edwards,6,81,105.4285714,7
Fred Brown,25,82,462,13
Fred Carter,23,82,381,12
Fred Christ,,6,5,1
Fred Cofield,3,45,38.5,2
Fred Diute,,7,2,1
Fred Foster,6,74,184.9,10
Fred Hetzel,,84,280.625,8
Fred Hilton,,61,250,2
Fred Hoiberg,15,79,95.9,10
Fred Jones,31,81,136.5555556,9
Fred LaCour,,73,127,3
Fred Roberts,40,82,164.3333333,15
Fred Saunders,15,69,97.66666667,6
Fred Schaus,,69,215.1428571,7
Fred Scolari,,66,211.625,8
Fred Taylor,,54,45.5,4
Fred VanVleet,2,37,39,1
Fred Vinson,0,8,3,2
Freddie Boyd,9,82,154.875,8
Freddie Crawford,,81,129.5555556,9
Freddie Lewis,2,34,46.6,5
Freeman Williams,9,82,279.375,8
Furkan Aldemir,16,41,40,1
Gabe Pruitt,3,47,22.5,2
Gail Goodrich*,22,82,530.7857143,14
Gal Mekel,1,31,16.5,2
Gani Lawal,0,1,0,1
Gar Heard,230,86,239.2,15
Garfield Smith,,37,35,2
Garret Siler,4,21,17,1
Garrett Temple,28,80,56.61538462,13
Garry Witts,4,46,49,1
Garth Joseph,1,4,0.666666667,3
Gary Alcorn,,58,51.5,2
Gary Alexander,0,11,5.333333333,3
Gary Bergen,,6,3,1
Gary Bradds,,41,24,2
Gary Brokaw,36,80,162.1666667,6
Gary Forbes,6,63,118,2
Gary Freeman,,52,46,3
Gary Garland,4,78,155,1
Gary Grant,14,78,143.3846154,13
Gary Gray,,44,49,1
Gary Gregor,,82,255.4,5
Gary Harris,18,76,248.3333333,3
Gary Hill,,67,41.5,4
Gary Leonard,9,22,5.666666667,3
Gary Melchionni,12,69,217,2
Gary Neal,4,80,150.5454545,11
Gary Payton,4,6,8,1
Gary Payton*,26,82,493.3157895,19
Gary Phillips,,75,185.2,5
Gary Plummer,14,66,99,2
Gary Suiter,,30,19,1
Gary Trent,35,82,184.8181818,11
Gary Voce,0,1,1,1
Gary Zeller,,50,58.5,2
Gaylon Nickerson,1,4,2.666666667,3
Geert Hammink,0,6,1.2,5
Gene Banks,23,82,355.6666667,6
Gene Berce,,3,5,1
Gene Conley,,75,138.8333333,6
Gene Dyker,,11,6,1
Gene Englund,,46,69.33333333,3
Gene Guarilia,,48,42,4
Gene James,,48,44.25,4
Gene Ollrich,,14,17,1
Gene Rhodes,,65,109,1
Gene Short,3,34,21.33333333,3
Gene Shue,,80,317.9166667,12
Gene Stump,,49,42,3
Gene Tormohlen,,77,85.83333333,6
Gene Vance,,35,54.33333333,3
Gene Wiley,,80,138.25,4
Geno Carlisle,0,6,2,1
Geoff Crompton,12,35,8,5
Geoff Huston,11,82,229.7,10
Geoff Petrie,15,82,661.6666667,6
George Blaney,,36,54,1
George Bon,,3,2,1
George Brown,,1,0,1
George Carter,,1,1,1
George Dempsey,,72,97.57142857,7
George Feigenbaum,,12,9,2
George Gervin*,110,82,804.5,10
George Hill,26,78,276.2222222,9
George Johnson,278,82,145.6923077,26
George Kaftan,,61,117.5,4
George Karl,0,29,13.5,2
George King,,72,252.8333333,6
George Lee,,75,105.7142857,7
George Lehmann,,55,42.5,2
George Lynch,41,82,173.8333333,12
George McCloud,38,79,193.3571429,14
George McGinnis,52,79,420.6666667,9
George McLeod,,10,2,1
George Mikan*,,72,493.5,6
George Nostrand,,55,39,4
George Patterson,,59,44,1
George Ratkovicz,,71,150.875,8
George Reynolds,,10,8,1
George Senesky,,69,168.2,5
George Thompson,6,73,306,1
George Trapp,33,82,236.1666667,6
George Wilson,,79,108.9090909,11
George Yardley*,,73,404.3333333,9
George Zidek,7,71,31,7
Georges Niang,0,23,9,1
Georgi Glouchkov,25,49,84,1
Georgios Papagiannis,17,22,56,1
Gerald Brown,1,33,33,1
Gerald Fitch,5,18,30,1
Gerald Glass,30,75,105,8
Gerald Green,42,82,163.75,12
Gerald Henderson,34,82,202.9310345,29
Gerald Madkins,1,22,8.666666667,3
Gerald Paddio,6,70,54.5,6
Gerald Wallace,115,76,232.7222222,18
Gerald Wilkins,38,82,365.6923077,13
Gerard King,15,62,78.33333333,3
Gerry Calabrese,,58,89.5,2
Gerry Ward,,76,50.5,4
Gheorghe Muresan,172,76,210.8333333,6
Giannis Antetokounmpo,151,81,431.25,4
Gil McGregor,,42,66,1
Gilbert Arenas,25,82,307,13
Glen Davis,30,78,188.5,10
Glen Gondrezick,36,80,163.1666667,6
Glen Rice,35,82,399.4117647,17
Glen Selbo,,13,10,1
Glenn Hagan,0,4,3,1
Glenn Hansen,13,66,48,5
Glenn McDonald,20,75,89.66666667,3
Glenn Mosley,10,26,18,2
Glenn Robinson,68,82,365.375,16
God Shammgod,1,20,19,1
Goo Kennedy,5,32,31,1
Goran Dragic,26,80,298.3846154,13
Gordan Giricek,15,81,171,13
Gordon Hayward,41,80,388.7142857,7
Gorgui Dieng,126,82,253,4
Grady O'Malley,,24,21,1
Grant Gondrezick,4,64,86.5,2
Grant Hill,62,82,352.5,18
Grant Jerrett,2,8,4.666666667,3
Grant Long,48,82,224.3529412,17
Granville Waiters,85,78,54,5
Greg Anderson,122,82,163.6153846,13
Greg Anthony,13,82,161.3076923,13
Greg Ballard,39,82,383.6363636,11
Greg Buckner,20,76,112,10
Greg Bunch,3,12,9,1
Greg Butler,2,33,9.333333333,3
Greg Deane,0,7,2,1
Greg Dreiling,29,73,37.5,10
Greg Fillmore,,39,26,2
Greg Foster,28,79,73.64705882,17
Greg Graham,6,70,58.42857143,7
Greg Grant,2,72,40.72727273,11
Greg Griffin,0,36,61,1
Greg Howard,,48,59,2
Greg Hyder,,77,183,1
Greg Jackson,9,49,48.66666667,3
Greg Kelser,35,80,151.625,8
Greg Kite,81,82,48.66666667,18
Greg Lee,0,5,2,1
Greg Minor,16,78,158.8,5
Greg Monroe,67,82,432.7142857,7
Greg Oden,69,61,105.6666667,3
Greg Ostertag,172,81,121.7272727,11
Greg Smith,40,82,148.4117647,17
Greg Stiemsma,90,76,67.25,4
Greg Stokes,11,31,28.5,2
Greg Sutton,9,67,71.4,5
Greivis Vasquez,10,82,183.8888889,9
Guillermo Diaz,0,6,1,1
Gundars Vetra,0,13,19,1
Gus Bailey,16,48,31.2,5
Gus Gerard,62,73,88.53846154,13
Gus Johnson*,,78,412.6,10
Gus Williams,41,82,526.6363636,11
Gustavo Ayon,46,55,75.2,5
Guy Morgan,0,8,7,1
Guy Rodgers*,,81,305.2142857,14
Guy Rucker,0,3,0,1
Guy Sparrow,,72,118,5
Guy Williams,2,21,15.5,2
Ha Seung-Jin,8,27,14,2
Hakeem Olajuwon*,376,82,597.1666667,18
Hakim Warrick,39,82,175.6666667,12
Hal Greer*,,82,566.9333333,15
Hal Lear,,3,2,1
Hal Uplinger,,23,33,1
Hamady N'Diaye,5,16,2.333333333,3
Hamed Haddadi,27,36,23.57142857,7
Hank DeZonie,,5,6,1
Hank Finkel,7,80,125,9
Hank McDowell,11,57,35.875,8
Hanno Mottola,19,82,146,2
Happy Hairston,17,81,346.9333333,15
Harold Ellis,12,69,104,3
Harold Fox,,10,12,1
Harold Jamison,1,25,14.5,2
Harold Keeling,0,20,17,1
Harold Miner,13,73,173,4
